exercise,exercise_category,muscle,muscle_group,mean_mvc_pct,sd_mvc_pct,value_type,normalisation_method,source_key,sample_size,population,load,notes,data_quality
Backward Lunge,Lower Push,Vastus Medialis,Quads,74.5,23.5,mean peak,MVIC,CompAnalysis2026,20,Healthy adults mixed,Bodyweight,,HIGH
Backward Lunge,Lower Push,Vastus Lateralis,Quads,59.9,16.6,mean peak,MVIC,CompAnalysis2026,20,Healthy adults mixed,Bodyweight,,HIGH
Backward Lunge,Lower Push,Rectus Femoris,Quads,40.4,21.6,mean peak,MVIC,CompAnalysis2026,20,Healthy adults mixed,Bodyweight,,HIGH
Half Squat,Lower Push,Vastus Medialis,Quads,47.5,17.4,mean peak,MVIC,CompAnalysis2026,20,Healthy adults mixed,Bodyweight,~60° knee flexion,HIGH
Half Squat,Lower Push,Vastus Lateralis,Quads,41.3,13.9,mean peak,MVIC,CompAnalysis2026,20,Healthy adults mixed,Bodyweight,,HIGH
Split Squat,Lower Push,Vastus Medialis,Quads,58.0,24.0,mean peak,MVIC,CompAnalysis2026,20,Healthy adults mixed,Bodyweight,Approximate from figure.,MEDIUM
Split Squat,Lower Push,Vastus Lateralis,Quads,50.0,18.0,mean peak,MVIC,CompAnalysis2026,20,Healthy adults mixed,Bodyweight,Approximate from figure.,MEDIUM
Monopodal Squat (Single-Leg Squat),Lower Push,Gluteus Medius,Glutes,60.0,,mean,MVIC,Fernandez2020,20,Physically active adults,60% 5RM,Approximate from figure. Higher than lunge and step-up for all muscles.,MEDIUM
Monopodal Squat (Single-Leg Squat),Lower Push,Gluteus Maximus,Glutes,60.0,,mean,MVIC,Fernandez2020,20,Physically active adults,60% 5RM,Approximate from figure.,MEDIUM
Monopodal Squat (Single-Leg Squat),Lower Push,Vastus Lateralis,Quads,75.0,,mean,MVIC,Fernandez2020,20,Physically active adults,60% 5RM,Approximate from figure. VL and VM highest of all muscles.,MEDIUM
Forward Lunge,Lower Push,Gluteus Medius,Glutes,35.0,,mean,MVIC,Fernandez2020,20,Physically active adults,60% 5RM,Approximate from figure.,MEDIUM
Forward Lunge,Lower Push,Gluteus Maximus,Glutes,35.0,,mean,MVIC,Fernandez2020,20,Physically active adults,60% 5RM,Approximate from figure.,MEDIUM
Forward Lunge,Lower Push,Vastus Lateralis,Quads,50.0,,mean,MVIC,Fernandez2020,20,Physically active adults,60% 5RM,Approximate from figure. RF significantly highest in lunge.,MEDIUM
Lateral Step-Up,Lower Push,Gluteus Medius,Glutes,28.0,,mean,MVIC,Fernandez2020,20,Physically active adults,60% 5RM,Approximate from figure.,MEDIUM
Lateral Step-Up,Lower Push,Gluteus Maximus,Glutes,25.0,,mean,MVIC,Fernandez2020,20,Physically active adults,60% 5RM,Approximate from figure.,MEDIUM
Swiss Ball Roll-Out,Core,Rectus Abdominis (Upper),Abs,63.0,,mean,MVIC,Escamilla2010,18,Healthy adults,Bodyweight,One of highest RA-activating exercises in the study. Significantly greater than most others.,HIGH
Swiss Ball Roll-Out,Core,Rectus Abdominis (Lower),Abs,53.0,,mean,MVIC,Escamilla2010,18,Healthy adults,Bodyweight,,HIGH
Swiss Ball Roll-Out,Core,External Oblique,Abs,46.0,,mean,MVIC,Escamilla2010,18,Healthy adults,Bodyweight,,HIGH
Swiss Ball Roll-Out,Core,Internal Oblique,Abs,46.0,,mean,MVIC,Escamilla2010,18,Healthy adults,Bodyweight,,HIGH
Swiss Ball Pike,Core,Rectus Abdominis (Upper),Abs,46.0,,mean,MVIC,Escamilla2010,18,Healthy adults,Bodyweight,,HIGH
Swiss Ball Pike,Core,Rectus Abdominis (Lower),Abs,55.0,,mean,MVIC,Escamilla2010,18,Healthy adults,Bodyweight,,HIGH
Swiss Ball Pike,Core,External Oblique,Abs,84.0,,mean,MVIC,Escamilla2010,18,Healthy adults,Bodyweight,Highest EO value of any exercise in the study.,HIGH
Swiss Ball Pike,Core,Internal Oblique,Abs,56.0,,mean,MVIC,Escamilla2010,18,Healthy adults,Bodyweight,,HIGH
Abdominal Crunch,Core,Rectus Abdominis,Abs,54.43,28.57,mean,MVIC,Snarr2015,mixed,Healthy adults,Bodyweight,Standard crunch knees at 90°. RA significantly greater than EO and RF.,HIGH
Abdominal Crunch,Core,External Oblique,Abs,32.71,13.91,mean,MVIC,Snarr2015,mixed,Healthy adults,Bodyweight,,HIGH
Abdominal Crunch,Core,Rectus Femoris,Abs,5.34,9.27,mean,MVIC,Snarr2015,mixed,Healthy adults,Bodyweight,Very low RF activation — good specificity for abdominals.,HIGH
Crunch (Static Hold - Hands Behind Neck),Core,Rectus Abdominis,Abs,81.0,10.9,mean,MVIC,CoreReview2020,review,Healthy adults,Bodyweight,Highest RA activation reported in systematic review of core exercises.,HIGH
Crunch (Arms Crossed on Chest),Core,Rectus Abdominis,Abs,67.6,15.7,mean,MVIC,CoreReview2020,review,Healthy adults,Bodyweight,Second highest RA crunch variation.,HIGH
Overhead Triceps Extension,Upper Push,Triceps Brachii,Triceps,76.0,22.0,mean,MVIC,PorcariTriceps,15,Female college students (20-24yr),70% 1RM,Approximate from thesis table. Among highest tricep activators.,MEDIUM
Triangle Push-Up,Upper Push,Triceps Brachii,Triceps,88.0,25.0,mean,MVIC,PorcariTriceps,15,Female college students (20-24yr),Bodyweight,Best triceps exercise in study (combined long+lateral head). Statistically similar to kickbacks and dips.,MEDIUM
Triceps Dips,Upper Push,Triceps Brachii,Triceps,85.0,24.0,mean,MVIC,PorcariTriceps,15,Female college students (20-24yr),Bodyweight,Statistically similar to triangle push-ups and kickbacks.,MEDIUM
Triceps Kickbacks,Upper Push,Triceps Brachii,Triceps,84.0,23.0,mean,MVIC,PorcariTriceps,15,Female college students (20-24yr),70% 1RM,Statistically similar to triangle push-ups and dips.,MEDIUM
Bar Pushdown (Cable),Upper Push,Triceps Brachii,Triceps,67.0,20.0,mean,MVIC,PorcariTriceps,15,Female college students (20-24yr),70% 1RM,Significant difference between long and lateral head activation.,MEDIUM
Rope Pushdown (Cable),Upper Push,Triceps Brachii,Triceps,65.0,20.0,mean,MVIC,PorcariTriceps,15,Female college students (20-24yr),70% 1RM,Significant difference between long and lateral head activation.,MEDIUM
